rank,file,path,ok,returncode,dg_kcal_mol,kd_M,intermolecular_contacts,charged_charged_contacts,charged_polar_contacts,charged_apolar_contacts,polar_polar_contacts,apolar_polar_contacts,apolar_apolar_contacts,stdout,stderr
225,NB_FP_0156.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0156.pdb,True,0,-8.4,7.2e-07,37,1.0,2.0,5.0,7.0,17.0,5.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0156_model0
[+] No. of intermolecular contacts: 37
[+] No. of charged-charged contacts: 1.0
[+] No. of charged-polar contacts: 2.0
[+] No. of charged-apolar contacts: 5.0
[+] No. of polar-polar contacts: 7.0
[+] No. of apolar-polar contacts: 17.0
[+] No. of apolar-apolar contacts: 5.0
[+] Percentage of apolar NIS residues: 43.29
[+] Percentage of charged NIS residues: 18.52
[++] Predicted binding affinity (kcal.mol-1):     -8.4
[++] Predicted dissociation constant (M) at 25.0˚C:  7.2e-07
",
226,NB_FP_0114.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0114.pdb,True,0,-8.4,6.5e-07,50,3.0,3.0,11.0,3.0,10.0,20.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0114_model0
[+] No. of intermolecular contacts: 50
[+] No. of charged-charged contacts: 3.0
[+] No. of charged-polar contacts: 3.0
[+] No. of charged-apolar contacts: 11.0
[+] No. of polar-polar contacts: 3.0
[+] No. of apolar-polar contacts: 10.0
[+] No. of apolar-apolar contacts: 20.0
[+] Percentage of apolar NIS residues: 42.96
[+] Percentage of charged NIS residues: 18.48
[++] Predicted binding affinity (kcal.mol-1):     -8.4
[++] Predicted dissociation constant (M) at 25.0˚C:  6.5e-07
",
227,NB_FP_0154.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0154.pdb,True,0,-8.3,8.5e-07,43,2.0,7.0,8.0,0.0,9.0,17.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0154_model0
[+] No. of intermolecular contacts: 43
[+] No. of charged-charged contacts: 2.0
[+] No. of charged-polar contacts: 7.0
[+] No. of charged-apolar contacts: 8.0
[+] No. of polar-polar contacts: 0.0
[+] No. of apolar-polar contacts: 9.0
[+] No. of apolar-apolar contacts: 17.0
[+] Percentage of apolar NIS residues: 43.68
[+] Percentage of charged NIS residues: 18.39
[++] Predicted binding affinity (kcal.mol-1):     -8.3
[++] Predicted dissociation constant (M) at 25.0˚C:  8.5e-07
",
228,NB_FP_0122.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0122.pdb,True,0,-8.3,8.5e-07,48,0.0,1.0,11.0,2.0,10.0,24.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0122_model0
[+] No. of intermolecular contacts: 48
[+] No. of charged-charged contacts: 0.0
[+] No. of charged-polar contacts: 1.0
[+] No. of charged-apolar contacts: 11.0
[+] No. of polar-polar contacts: 2.0
[+] No. of apolar-polar contacts: 10.0
[+] No. of apolar-apolar contacts: 24.0
[+] Percentage of apolar NIS residues: 42.96
[+] Percentage of charged NIS residues: 18.94
[++] Predicted binding affinity (kcal.mol-1):     -8.3
[++] Predicted dissociation constant (M) at 25.0˚C:  8.5e-07
",
229,NB_FP_0078.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0078.pdb,True,0,-8.3,7.6e-07,63,0.0,0.0,7.0,6.0,16.0,34.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0078_model0
[+] No. of intermolecular contacts: 63
[+] No. of charged-charged contacts: 0.0
[+] No. of charged-polar contacts: 0.0
[+] No. of charged-apolar contacts: 7.0
[+] No. of polar-polar contacts: 6.0
[+] No. of apolar-polar contacts: 16.0
[+] No. of apolar-apolar contacts: 34.0
[+] Percentage of apolar NIS residues: 43.52
[+] Percentage of charged NIS residues: 18.98
[++] Predicted binding affinity (kcal.mol-1):     -8.3
[++] Predicted dissociation constant (M) at 25.0˚C:  7.6e-07
",
230,NB_FP_0165.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0165.pdb,True,0,-8.3,7.8e-07,56,1.0,8.0,10.0,3.0,12.0,22.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0165_model0
[+] No. of intermolecular contacts: 56
[+] No. of charged-charged contacts: 1.0
[+] No. of charged-polar contacts: 8.0
[+] No. of charged-apolar contacts: 10.0
[+] No. of polar-polar contacts: 3.0
[+] No. of apolar-polar contacts: 12.0
[+] No. of apolar-apolar contacts: 22.0
[+] Percentage of apolar NIS residues: 44.57
[+] Percentage of charged NIS residues: 18.24
[++] Predicted binding affinity (kcal.mol-1):     -8.3
[++] Predicted dissociation constant (M) at 25.0˚C:  7.8e-07
",
231,NB_FP_0289.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0289.pdb,True,0,-8.3,8.7e-07,43,1.0,4.0,10.0,3.0,11.0,14.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0289_model0
[+] No. of intermolecular contacts: 43
[+] No. of charged-charged contacts: 1.0
[+] No. of charged-polar contacts: 4.0
[+] No. of charged-apolar contacts: 10.0
[+] No. of polar-polar contacts: 3.0
[+] No. of apolar-polar contacts: 11.0
[+] No. of apolar-apolar contacts: 14.0
[+] Percentage of apolar NIS residues: 43.76
[+] Percentage of charged NIS residues: 18.14
[++] Predicted binding affinity (kcal.mol-1):     -8.3
[++] Predicted dissociation constant (M) at 25.0˚C:  8.7e-07
",
232,NB_FP_0011.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0011.pdb,True,0,-8.3,8.7e-07,35,1.0,4.0,7.0,3.0,13.0,7.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0011_model0
[+] No. of intermolecular contacts: 35
[+] No. of charged-charged contacts: 1.0
[+] No. of charged-polar contacts: 4.0
[+] No. of charged-apolar contacts: 7.0
[+] No. of polar-polar contacts: 3.0
[+] No. of apolar-polar contacts: 13.0
[+] No. of apolar-apolar contacts: 7.0
[+] Percentage of apolar NIS residues: 44.27
[+] Percentage of charged NIS residues: 18.58
[++] Predicted binding affinity (kcal.mol-1):     -8.3
[++] Predicted dissociation constant (M) at 25.0˚C:  8.7e-07
",
233,NB_FP_0296.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0296.pdb,True,0,-8.3,7.8e-07,48,1.0,1.0,10.0,6.0,14.0,16.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0296_model0
[+] No. of intermolecular contacts: 48
[+] No. of charged-charged contacts: 1.0
[+] No. of charged-polar contacts: 1.0
[+] No. of charged-apolar contacts: 10.0
[+] No. of polar-polar contacts: 6.0
[+] No. of apolar-polar contacts: 14.0
[+] No. of apolar-apolar contacts: 16.0
[+] Percentage of apolar NIS residues: 43.55
[+] Percentage of charged NIS residues: 18.66
[++] Predicted binding affinity (kcal.mol-1):     -8.3
[++] Predicted dissociation constant (M) at 25.0˚C:  7.8e-07
",
234,NB_FP_0230.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0230.pdb,True,0,-8.3,7.8e-07,46,1.0,3.0,19.0,1.0,6.0,16.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0230_model0
[+] No. of intermolecular contacts: 46
[+] No. of charged-charged contacts: 1.0
[+] No. of charged-polar contacts: 3.0
[+] No. of charged-apolar contacts: 19.0
[+] No. of polar-polar contacts: 1.0
[+] No. of apolar-polar contacts: 6.0
[+] No. of apolar-apolar contacts: 16.0
[+] Percentage of apolar NIS residues: 43.12
[+] Percentage of charged NIS residues: 19.72
[++] Predicted binding affinity (kcal.mol-1):     -8.3
[++] Predicted dissociation constant (M) at 25.0˚C:  7.8e-07
",
235,NB_FP_0205.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0205.pdb,True,0,-8.3,7.9e-07,39,0.0,3.0,3.0,4.0,16.0,13.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0205_model0
[+] No. of intermolecular contacts: 39
[+] No. of charged-charged contacts: 0.0
[+] No. of charged-polar contacts: 3.0
[+] No. of charged-apolar contacts: 3.0
[+] No. of polar-polar contacts: 4.0
[+] No. of apolar-polar contacts: 16.0
[+] No. of apolar-apolar contacts: 13.0
[+] Percentage of apolar NIS residues: 44.08
[+] Percentage of charged NIS residues: 18.33
[++] Predicted binding affinity (kcal.mol-1):     -8.3
[++] Predicted dissociation constant (M) at 25.0˚C:  7.9e-07
",
236,NB_FP_0053.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0053.pdb,True,0,-8.3,8.7e-07,62,2.0,1.0,7.0,10.0,18.0,24.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0053_model0
[+] No. of intermolecular contacts: 62
[+] No. of charged-charged contacts: 2.0
[+] No. of charged-polar contacts: 1.0
[+] No. of charged-apolar contacts: 7.0
[+] No. of polar-polar contacts: 10.0
[+] No. of apolar-polar contacts: 18.0
[+] No. of apolar-apolar contacts: 24.0
[+] Percentage of apolar NIS residues: 42.95
[+] Percentage of charged NIS residues: 19.32
[++] Predicted binding affinity (kcal.mol-1):     -8.3
[++] Predicted dissociation constant (M) at 25.0˚C:  8.7e-07
",
237,NB_FP_0123.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0123.pdb,True,0,-8.2,1.0e-06,39,2.0,2.0,8.0,3.0,11.0,13.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0123_model0
[+] No. of intermolecular contacts: 39
[+] No. of charged-charged contacts: 2.0
[+] No. of charged-polar contacts: 2.0
[+] No. of charged-apolar contacts: 8.0
[+] No. of polar-polar contacts: 3.0
[+] No. of apolar-polar contacts: 11.0
[+] No. of apolar-apolar contacts: 13.0
[+] Percentage of apolar NIS residues: 43.34
[+] Percentage of charged NIS residues: 18.74
[++] Predicted binding affinity (kcal.mol-1):     -8.2
[++] Predicted dissociation constant (M) at 25.0˚C:  1.0e-06
",
238,NB_FP_0132.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0132.pdb,True,0,-8.2,1.0e-06,28,1.0,4.0,4.0,2.0,13.0,4.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0132_model0
[+] No. of intermolecular contacts: 28
[+] No. of charged-charged contacts: 1.0
[+] No. of charged-polar contacts: 4.0
[+] No. of charged-apolar contacts: 4.0
[+] No. of polar-polar contacts: 2.0
[+] No. of apolar-polar contacts: 13.0
[+] No. of apolar-apolar contacts: 4.0
[+] Percentage of apolar NIS residues: 44.52
[+] Percentage of charged NIS residues: 18.12
[++] Predicted binding affinity (kcal.mol-1):     -8.2
[++] Predicted dissociation constant (M) at 25.0˚C:  1.0e-06
",
239,NB_FP_0118.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0118.pdb,True,0,-8.2,9.5e-07,41,1.0,1.0,10.0,4.0,12.0,13.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0118_model0
[+] No. of intermolecular contacts: 41
[+] No. of charged-charged contacts: 1.0
[+] No. of charged-polar contacts: 1.0
[+] No. of charged-apolar contacts: 10.0
[+] No. of polar-polar contacts: 4.0
[+] No. of apolar-polar contacts: 12.0
[+] No. of apolar-apolar contacts: 13.0
[+] Percentage of apolar NIS residues: 44.01
[+] Percentage of charged NIS residues: 18.43
[++] Predicted binding affinity (kcal.mol-1):     -8.2
[++] Predicted dissociation constant (M) at 25.0˚C:  9.5e-07
",
240,NB_FP_0212.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0212.pdb,True,0,-8.2,9.6e-07,48,1.0,4.0,5.0,3.0,14.0,21.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0212_model0
[+] No. of intermolecular contacts: 48
[+] No. of charged-charged contacts: 1.0
[+] No. of charged-polar contacts: 4.0
[+] No. of charged-apolar contacts: 5.0
[+] No. of polar-polar contacts: 3.0
[+] No. of apolar-polar contacts: 14.0
[+] No. of apolar-apolar contacts: 21.0
[+] Percentage of apolar NIS residues: 44.65
[+] Percentage of charged NIS residues: 18.68
[++] Predicted binding affinity (kcal.mol-1):     -8.2
[++] Predicted dissociation constant (M) at 25.0˚C:  9.6e-07
",
241,NB_FP_0300.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0300.pdb,True,0,-8.2,8.9e-07,52,0.0,2.0,6.0,3.0,14.0,27.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0300_model0
[+] No. of intermolecular contacts: 52
[+] No. of charged-charged contacts: 0.0
[+] No. of charged-polar contacts: 2.0
[+] No. of charged-apolar contacts: 6.0
[+] No. of polar-polar contacts: 3.0
[+] No. of apolar-polar contacts: 14.0
[+] No. of apolar-apolar contacts: 27.0
[+] Percentage of apolar NIS residues: 44.83
[+] Percentage of charged NIS residues: 18.16
[++] Predicted binding affinity (kcal.mol-1):     -8.2
[++] Predicted dissociation constant (M) at 25.0˚C:  8.9e-07
",
242,NB_FP_0130.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0130.pdb,True,0,-8.2,9.4e-07,41,1.0,5.0,15.0,2.0,8.0,10.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0130_model0
[+] No. of intermolecular contacts: 41
[+] No. of charged-charged contacts: 1.0
[+] No. of charged-polar contacts: 5.0
[+] No. of charged-apolar contacts: 15.0
[+] No. of polar-polar contacts: 2.0
[+] No. of apolar-polar contacts: 8.0
[+] No. of apolar-apolar contacts: 10.0
[+] Percentage of apolar NIS residues: 43.91
[+] Percentage of charged NIS residues: 18.39
[++] Predicted binding affinity (kcal.mol-1):     -8.2
[++] Predicted dissociation constant (M) at 25.0˚C:  9.4e-07
",
243,NB_FP_0153.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0153.pdb,True,0,-8.2,9.1e-07,45,0.0,8.0,5.0,4.0,14.0,14.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0153_model0
[+] No. of intermolecular contacts: 45
[+] No. of charged-charged contacts: 0.0
[+] No. of charged-polar contacts: 8.0
[+] No. of charged-apolar contacts: 5.0
[+] No. of polar-polar contacts: 4.0
[+] No. of apolar-polar contacts: 14.0
[+] No. of apolar-apolar contacts: 14.0
[+] Percentage of apolar NIS residues: 43.12
[+] Percentage of charged NIS residues: 18.41
[++] Predicted binding affinity (kcal.mol-1):     -8.2
[++] Predicted dissociation constant (M) at 25.0˚C:  9.1e-07
",
244,NB_FP_0190.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0190.pdb,True,0,-8.2,1.0e-06,39,1.0,3.0,7.0,4.0,13.0,11.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0190_model0
[+] No. of intermolecular contacts: 39
[+] No. of charged-charged contacts: 1.0
[+] No. of charged-polar contacts: 3.0
[+] No. of charged-apolar contacts: 7.0
[+] No. of polar-polar contacts: 4.0
[+] No. of apolar-polar contacts: 13.0
[+] No. of apolar-apolar contacts: 11.0
[+] Percentage of apolar NIS residues: 43.12
[+] Percentage of charged NIS residues: 19.50
[++] Predicted binding affinity (kcal.mol-1):     -8.2
[++] Predicted dissociation constant (M) at 25.0˚C:  1.0e-06
",
245,NB_FP_0036.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0036.pdb,True,0,-8.1,1.2e-06,35,0.0,3.0,8.0,2.0,11.0,11.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0036_model0
[+] No. of intermolecular contacts: 35
[+] No. of charged-charged contacts: 0.0
[+] No. of charged-polar contacts: 3.0
[+] No. of charged-apolar contacts: 8.0
[+] No. of polar-polar contacts: 2.0
[+] No. of apolar-polar contacts: 11.0
[+] No. of apolar-apolar contacts: 11.0
[+] Percentage of apolar NIS residues: 44.24
[+] Percentage of charged NIS residues: 18.20
[++] Predicted binding affinity (kcal.mol-1):     -8.1
[++] Predicted dissociation constant (M) at 25.0˚C:  1.2e-06
",
246,NB_FP_0231.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0231.pdb,True,0,-8.1,1.2e-06,41,1.0,2.0,5.0,6.0,15.0,12.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0231_model0
[+] No. of intermolecular contacts: 41
[+] No. of charged-charged contacts: 1.0
[+] No. of charged-polar contacts: 2.0
[+] No. of charged-apolar contacts: 5.0
[+] No. of polar-polar contacts: 6.0
[+] No. of apolar-polar contacts: 15.0
[+] No. of apolar-apolar contacts: 12.0
[+] Percentage of apolar NIS residues: 43.08
[+] Percentage of charged NIS residues: 19.05
[++] Predicted binding affinity (kcal.mol-1):     -8.1
[++] Predicted dissociation constant (M) at 25.0˚C:  1.2e-06
",
247,NB_FP_0275.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0275.pdb,True,0,-8.1,1.1e-06,51,1.0,5.0,12.0,2.0,9.0,22.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0275_model0
[+] No. of intermolecular contacts: 51
[+] No. of charged-charged contacts: 1.0
[+] No. of charged-polar contacts: 5.0
[+] No. of charged-apolar contacts: 12.0
[+] No. of polar-polar contacts: 2.0
[+] No. of apolar-polar contacts: 9.0
[+] No. of apolar-apolar contacts: 22.0
[+] Percentage of apolar NIS residues: 43.93
[+] Percentage of charged NIS residues: 18.69
[++] Predicted binding affinity (kcal.mol-1):     -8.1
[++] Predicted dissociation constant (M) at 25.0˚C:  1.1e-06
",
248,NB_FP_0070.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0070.pdb,True,0,-8.1,1.1e-06,32,0.0,3.0,2.0,4.0,16.0,7.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0070_model0
[+] No. of intermolecular contacts: 32
[+] No. of charged-charged contacts: 0.0
[+] No. of charged-polar contacts: 3.0
[+] No. of charged-apolar contacts: 2.0
[+] No. of polar-polar contacts: 4.0
[+] No. of apolar-polar contacts: 16.0
[+] No. of apolar-apolar contacts: 7.0
[+] Percentage of apolar NIS residues: 44.85
[+] Percentage of charged NIS residues: 18.08
[++] Predicted binding affinity (kcal.mol-1):     -8.1
[++] Predicted dissociation constant (M) at 25.0˚C:  1.1e-06
",
249,NB_FP_0073.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0073.pdb,True,0,-8.1,1.2e-06,41,5.0,3.0,12.0,1.0,7.0,13.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0073_model0
[+] No. of intermolecular contacts: 41
[+] No. of charged-charged contacts: 5.0
[+] No. of charged-polar contacts: 3.0
[+] No. of charged-apolar contacts: 12.0
[+] No. of polar-polar contacts: 1.0
[+] No. of apolar-polar contacts: 7.0
[+] No. of apolar-apolar contacts: 13.0
[+] Percentage of apolar NIS residues: 44.42
[+] Percentage of charged NIS residues: 19.13
[++] Predicted binding affinity (kcal.mol-1):     -8.1
[++] Predicted dissociation constant (M) at 25.0˚C:  1.2e-06
",
250,NB_FP_0286.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0286.pdb,True,0,-8.1,1.1e-06,47,0.0,3.0,7.0,2.0,12.0,23.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0286_model0
[+] No. of intermolecular contacts: 47
[+] No. of charged-charged contacts: 0.0
[+] No. of charged-polar contacts: 3.0
[+] No. of charged-apolar contacts: 7.0
[+] No. of polar-polar contacts: 2.0
[+] No. of apolar-polar contacts: 12.0
[+] No. of apolar-apolar contacts: 23.0
[+] Percentage of apolar NIS residues: 44.27
[+] Percentage of charged NIS residues: 18.81
[++] Predicted binding affinity (kcal.mol-1):     -8.1
[++] Predicted dissociation constant (M) at 25.0˚C:  1.1e-06
",
251,NB_FP_0285.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0285.pdb,True,0,-8.1,1.2e-06,49,1.0,7.0,12.0,2.0,9.0,18.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0285_model0
[+] No. of intermolecular contacts: 49
[+] No. of charged-charged contacts: 1.0
[+] No. of charged-polar contacts: 7.0
[+] No. of charged-apolar contacts: 12.0
[+] No. of polar-polar contacts: 2.0
[+] No. of apolar-polar contacts: 9.0
[+] No. of apolar-apolar contacts: 18.0
[+] Percentage of apolar NIS residues: 43.91
[+] Percentage of charged NIS residues: 19.08
[++] Predicted binding affinity (kcal.mol-1):     -8.1
[++] Predicted dissociation constant (M) at 25.0˚C:  1.2e-06
",
252,NB_FP_0206.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0206.pdb,True,0,-8.1,1.2e-06,26,1.0,1.0,7.0,2.0,11.0,4.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0206_model0
[+] No. of intermolecular contacts: 26
[+] No. of charged-charged contacts: 1.0
[+] No. of charged-polar contacts: 1.0
[+] No. of charged-apolar contacts: 7.0
[+] No. of polar-polar contacts: 2.0
[+] No. of apolar-polar contacts: 11.0
[+] No. of apolar-apolar contacts: 4.0
[+] Percentage of apolar NIS residues: 43.75
[+] Percentage of charged NIS residues: 18.75
[++] Predicted binding affinity (kcal.mol-1):     -8.1
[++] Predicted dissociation constant (M) at 25.0˚C:  1.2e-06
",
253,NB_FP_0233.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0233.pdb,True,0,-8.1,1.1e-06,45,0.0,6.0,6.0,5.0,15.0,13.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0233_model0
[+] No. of intermolecular contacts: 45
[+] No. of charged-charged contacts: 0.0
[+] No. of charged-polar contacts: 6.0
[+] No. of charged-apolar contacts: 6.0
[+] No. of polar-polar contacts: 5.0
[+] No. of apolar-polar contacts: 15.0
[+] No. of apolar-apolar contacts: 13.0
[+] Percentage of apolar NIS residues: 44.32
[+] Percentage of charged NIS residues: 18.64
[++] Predicted binding affinity (kcal.mol-1):     -8.1
[++] Predicted dissociation constant (M) at 25.0˚C:  1.1e-06
",
254,NB_FP_0042.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0042.pdb,True,0,-8.1,1.1e-06,38,1.0,5.0,7.0,1.0,10.0,14.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0042_model0
[+] No. of intermolecular contacts: 38
[+] No. of charged-charged contacts: 1.0
[+] No. of charged-polar contacts: 5.0
[+] No. of charged-apolar contacts: 7.0
[+] No. of polar-polar contacts: 1.0
[+] No. of apolar-polar contacts: 10.0
[+] No. of apolar-apolar contacts: 14.0
[+] Percentage of apolar NIS residues: 42.89
[+] Percentage of charged NIS residues: 19.50
[++] Predicted binding affinity (kcal.mol-1):     -8.1
[++] Predicted dissociation constant (M) at 25.0˚C:  1.1e-06
",
255,NB_FP_0237.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0237.pdb,True,0,-8.1,1.2e-06,47,0.0,3.0,3.0,5.0,15.0,21.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0237_model0
[+] No. of intermolecular contacts: 47
[+] No. of charged-charged contacts: 0.0
[+] No. of charged-polar contacts: 3.0
[+] No. of charged-apolar contacts: 3.0
[+] No. of polar-polar contacts: 5.0
[+] No. of apolar-polar contacts: 15.0
[+] No. of apolar-apolar contacts: 21.0
[+] Percentage of apolar NIS residues: 43.02
[+] Percentage of charged NIS residues: 18.54
[++] Predicted binding affinity (kcal.mol-1):     -8.1
[++] Predicted dissociation constant (M) at 25.0˚C:  1.2e-06
",
256,NB_FP_0131.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0131.pdb,True,0,-8.0,1.4e-06,40,1.0,2.0,5.0,2.0,12.0,18.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0131_model0
[+] No. of intermolecular contacts: 40
[+] No. of charged-charged contacts: 1.0
[+] No. of charged-polar contacts: 2.0
[+] No. of charged-apolar contacts: 5.0
[+] No. of polar-polar contacts: 2.0
[+] No. of apolar-polar contacts: 12.0
[+] No. of apolar-apolar contacts: 18.0
[+] Percentage of apolar NIS residues: 44.32
[+] Percentage of charged NIS residues: 19.03
[++] Predicted binding affinity (kcal.mol-1):     -8.0
[++] Predicted dissociation constant (M) at 25.0˚C:  1.4e-06
",
257,NB_FP_0257.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0257.pdb,True,0,-8.0,1.3e-06,31,0.0,1.0,4.0,5.0,15.0,6.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0257_model0
[+] No. of intermolecular contacts: 31
[+] No. of charged-charged contacts: 0.0
[+] No. of charged-polar contacts: 1.0
[+] No. of charged-apolar contacts: 4.0
[+] No. of polar-polar contacts: 5.0
[+] No. of apolar-polar contacts: 15.0
[+] No. of apolar-apolar contacts: 6.0
[+] Percentage of apolar NIS residues: 43.45
[+] Percentage of charged NIS residues: 18.85
[++] Predicted binding affinity (kcal.mol-1):     -8.0
[++] Predicted dissociation constant (M) at 25.0˚C:  1.3e-06
",
